B2,B4,Turn,Unit,Poss_labels,Reason,Label Types
20180723-100140_767_live,0,0,"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",,,
20180723-100140_767_live,1,0,I guess that is true.,ERPos+,1e,
20180723-100140_767_live,1,0,I have never thought about destiny being determined by where you are born though.,,,
20180723-100140_767_live,0,1,"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",,,
20180723-100140_767_live,1,1,That really is terrible to think about.,ERPos+,1e,
20180723-100140_767_live,1,1,We are pretty lucky to have been born in the United States.,ERPos+,1e,
20180723-100140_767_live,0,2,"Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?",EEPos+,2c,
20180723-100140_767_live,1,2,I don't really remember much about it but I know the basics,,,
20180723-100140_767_live,0,3,Yeah so people donated money to help children in need.,EEpos+,2b,
20180723-100140_767_live,0,3,Would you like to donate money to this charity?,ERNeg-,4b,
20180723-100140_767_live,0,3,It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.,ERPos+,1a,
20180723-100140_767_live,1,3,Is this a legit charity?,ERPos-,5a,
20180723-100140_767_live,1,3,Do you have personal experience?,,,
20180723-100140_767_live,0,4,"Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria.",ERPos+,1a,
20180723-100140_767_live,0,4,"In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria.",ERPos+,1a,
20180723-100140_767_live,0,4,We help with medical costs and funding volunteers.,ERPos+,1a,
20180723-100140_767_live,1,4,That sounds important.,ERPos+,1e,
20180723-100140_767_live,1,4,How much of a donation are you looking for?,,,
20180723-100140_767_live,0,5,"Well I wouldn't ask more than what a candy bar costs, I know we live in hard times right now.",,,
20180723-100140_767_live,0,5,Anything between 10 to 50 cents helps.,EENeg-,,
20180723-100140_767_live,1,5,That seems reasonable.,ERPos+,"1e, 1c",
20180723-100140_767_live,1,5,Yes I would like to make a donation.,ERPos+,1c,
20180723-100140_767_live,0,6,"Okay thank you, the charity really appreciates your donation today and thanks you, how much would you like to do?","EEPos+
EENeg-","2a
4b",
20180723-100140_767_live,1,6,I can $1 today,ERPos+,1c,
20180723-100140_767_live,0,7,Wow thank you!,"EEPos+
",2a,
20180723-100140_767_live,0,7,Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.,EEPos+,2a,
20180723-100140_767_live,1,7,No problem!,,,
20180723-100140_767_live,1,7,I wish I could do more.,ERPos+,1c,
20180723-100140_767_live,0,8,"Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.",EEPos+,2b,
20180723-100140_767_live,0,8,It's worth it you know?,EEPos+,2b,
20180723-100140_767_live,1,8,That is a good idea.,ERPos+,1e,
20180723-100140_767_live,1,8,I will also tell others about this charity.,ERPos+,1e,
20180723-100140_767_live,0,9,Thank you!,,,
20180723-100140_767_live,0,9,Have a great Monday!,,,
20180723-100140_767_live,1,9,Thank you!,,,
20180723-100140_767_live,1,9,You too,,,
20180723-100855_385_live,0,0,Hi...,,,
20180723-100855_385_live,0,0,how are you today?,,,
20180723-100855_385_live,0,0,The research team is helping an organization called 'Save the Children'.,,,
20180723-100855_385_live,0,0,Have you heard of it?,,,
20180723-100855_385_live,1,0,im doing well!,,,
20180723-100855_385_live,1,0,How about you?,,,
20180723-100855_385_live,1,0,I have heard about it but would love to learn more about it,ERPos+,1d,
20180723-100855_385_live,0,1,Im fine thank you.,,,
20180723-100855_385_live,0,1,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",ERPos+,1a,
20180723-100855_385_live,1,1,Wow!,ERPos+,1e,
20180723-100855_385_live,1,1,Thats awesome!,ERPos+,1e,
20180723-100855_385_live,0,2,Save the Children has a proven track record of using donations efficiently and effectively.,ERPos+,1a,
20180723-100855_385_live,0,2,There are several children around us who are below poverty line and needed a helping hand.,EEPos+,2b,
20180723-100855_385_live,0,2,It would be great if you can make a contribution from your side for this venture.,"EENeg-
",4b,
20180723-100855_385_live,1,2,I would love to help in anyway I can.,ERPos+,1c,
